Security Wise Delivery Position - Compulsory Rolling Settlement
Trade Date <07-MAR-2002>,Settlement No <2002048>,Settlement Date <15-MAR-2002>
10,MTO,07032002,039146432,0000752
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,22,AMARAJABAT,EQ,28214,14949,52.98
20,23,AMBUJARAJN,EQ,8863,8713,98.31
20,24,ANDHRABANK,EQ,71851,46019,64.05
20,25,ANDHRSUGAR,EQ,25450,23600,92.73
20,26,ANTGRAPHIC,EQ,7812,7256,92.88
20,27,APCOTEXLAT,EQ,3056,2830,92.60
20,28,APOLLOHOSP,EQ,161821,48425,29.93
20,29,APOLLOTYRE,EQ,31881,16702,52.39
20,30,APPAPER,EQ,370,370,100.00
20,31,ARCHIES,EQ,443108,108740,24.54
20,32,ARHAMFISCL,EQ,7800,5950,76.28
20,33,ARIHANTCRE,EQ,51450,19500,37.90
20,34,ASAHIINDIA,EQ,785,780,99.36
20,35,ASHAPURMIN,EQ,3225,3075,95.35
20,36,ASHKLEYFIN,EQ,18284,12948,70.82
20,37,ASHOKLEY,EQ,175337,148253,84.55
20,38,ASIANELEC,EQ,900,900,100.00
20,39,ASIANHOTEL,EQ,674,574,85.16
20,40,ASIANPAINT,EQ,53472,29046,54.32
20,41,ASSAMCO,EQ,800,800,100.00
20,42,ASSAMFRONT,EQ,235,170,72.34
20,43,ASTRAIDL,EQ,6748,6509,96.46
20,44,ATCOIND,EQ,8690,8300,95.51
20,45,ATLASCOPCO,EQ,153258,76148,49.69
20,46,ATLASCYCLE,EQ,868,818,94.24
20,47,ATULPROD,EQ,3077,2625,85.31
20,48,AUROPHARMA,EQ,8961,3371,37.62
20,49,AUTOAXLES,EQ,105,100,95.24
20,50,AUTORIDFIN,EQ,10,10,100.00
20,51,AZTEC,EQ,110454,50030,45.29
20,52,BAJAJAUTO,EQ,153843,61904,40.24
20,53,BAJAJHIND,EQ,1338,338,25.26
20,54,BAJAUTOFIN,EQ,2025,1750,86.42
20,55,BALAJHOTEL,EQ,1600,1600,100.00
20,56,BALAJIDIST,EQ,200,200,100.00
20,57,BALAJIIND,EQ,3400,3400,100.00
20,58,BALAJITELE,EQ,77267,9275,12.00
20,59,BALMLAWRIE,EQ,2115,2105,99.53
20,60,BALRAMCHIN,EQ,50717,45740,90.19
20,61,BANKBARODA,EQ,68902,45383,65.87
20,62,BANKINDIA,EQ,408636,314204,76.89
20,63,BANKPUNJAB,EQ,121025,93164,76.98
20,64,BANKRAJAS,EQ,129868,71747,55.25
20,65,BASF,EQ,44439,18896,42.52
20,66,BATAINDIA,EQ,17243,13991,81.14
20,67,BAUSCHLOMB,EQ,72168,47517,65.84
20,68,BAYER,EQ,207,169,81.64
20,69,BBTC,EQ,200,200,100.00
20,70,BEL,EQ,268662,78325,29.15
20,71,BEML,EQ,169034,41701,24.67
20,72,BFLSOFTWAR,EQ,70666,27944,39.54
20,73,BGFL,EQ,48783,33089,67.83
20,74,BHARATFORG,EQ,6062,4970,81.99
20,75,BHARATHOT,EQ,2182,2181,99.95
20,76,BHARATRAS,EQ,1450,1400,96.55
20,77,BHARTI,EQ,675801,536827,79.44
20,78,BHEL,EQ,833656,135018,16.20
20,79,BHUSANSTL,EQ,1334,893,66.94
20,80,BIL,EQ,12307,11275,91.61
20,81,BILT,EQ,572070,274670,48.01
20,82,BIMETBRG,EQ,295,295,100.00
20,83,BINANIZINC,EQ,1350,1125,83.33
20,84,BINDALAGRO,EQ,11814,10892,92.20
20,85,BIOFILCHEM,EQ,1121,1121,100.00
20,86,BIRLA3M,EQ,15955,14887,93.31
20,87,BIRLAERIC,EQ,38162,19680,51.57
20,88,BIRLAJUTE,EQ,13026,10644,81.71
20,89,BLUEDART,EQ,3700,2665,72.03
20,90,BLUESTARCO,EQ,9855,8305,84.27
20,91,BLUESTINFO,EQ,35308,13348,37.80
20,92,BOMDYEING,EQ,5636,5362,95.14
20,93,BONGAIREFN,EQ,111400,101300,90.93
20,94,BOOTSPHARM,EQ,4005,2050,51.19
20,95,BPCL,EQ,1251113,188687,15.08
20,96,BPL,EQ,21893,7891,36.04
20,97,BPLENGG,EQ,14400,9300,64.58
20,98,BPLSANTECH,EQ,500,450,90.00
20,99,BRITANNIA,EQ,1421,1061,74.67
20,100,BSELINFO,EQ,225,225,100.00
20,101,BSES,EQ,43690,33896,77.58
20,102,BSL,EQ,574,574,100.00
20,103,BURRWELCOM,EQ,4411,3488,79.08
20,104,CABOTINDIA,EQ,740,140,18.92
20,105,CADBURY,EQ,190,180,94.74
20,106,CADILAHC,EQ,5166,3870,74.91
20,107,CALSOFT,EQ,505,501,99.21
20,108,CANFINHOME,EQ,2170,1970,90.78
20,109,CARBEVFLOW,EQ,1605,1535,95.64
20,110,CARBORUNIV,EQ,543,483,88.95
20,111,CARRIERAIR,EQ,2950,2950,100.00
20,112,CASTROL,EQ,17401,13771,79.14
20,113,CEAT,EQ,51116,44151,86.37
20,114,CEATFIN,EQ,1325,1200,90.57
20,115,CENTENKA,EQ,4386,4070,92.80
20,116,CENTURION,EQ,652601,454378,69.63
20,117,CENTURYTEX,EQ,53810,37135,69.01
20,118,CESC,EQ,9051,7200,79.55
20,119,CGIGARSH,EQ,2400,2350,97.92
20,120,CHAMBLFERT,EQ,74762,63151,84.47
20,121,CHEMPLAST,EQ,12938,12938,100.00
20,122,CHENNPETRO,EQ,13226,11576,87.52
20,123,CHESLINTEX,EQ,3100,3100,100.00
20,124,CHETNADCEM,EQ,13845,11170,80.68
20,125,CHLORIDIND,EQ,3509,2720,77.51
20,126,CHOLAINV,EQ,7360,6935,94.23
20,127,CIBASPEC,EQ,58127,32079,55.19
20,128,CIMCOBIRLA,EQ,50,50,100.00
20,129,CINEVISTA,EQ,3345,2159,64.54
20,130,CIPLA,EQ,23248,15958,68.64
20,131,CITICORSEC,EQ,36984,18352,49.62
20,132,CLARIANT,EQ,1625,1461,89.91
20,133,CMC,EQ,11734,6707,57.16
20,134,COATESIND,EQ,763,563,73.79
20,135,COATVIYELA,EQ,3354,3254,97.02
20,136,COCHINREFN,EQ,24992,17078,68.33
20,137,COLGATE,EQ,16553,9949,60.10
20,138,COLORCHEM,EQ,4617,3616,78.32
20,139,COMPUDYNE,EQ,343162,111486,32.49
20,140,COMPUTECH,EQ,26225,19980,76.19
20,141,CONCOR,EQ,129767,99601,76.75
20,142,CONSCOFFEE,EQ,742,452,60.92
20,143,COREPARENT,EQ,5831,5831,100.00
20,144,CORPBANK,EQ,81981,45510,55.51
20,145,COSMOFILMS,EQ,3450,3450,100.00
20,146,CREATIVEYE,EQ,81632,77521,94.96
20,147,CRESTCOMM,EQ,351394,68501,19.49
20,148,CRISIL,EQ,5230,3647,69.73
20,149,CROMPGREAV,EQ,206575,108578,52.56
20,150,CUB,EQ,11790,9360,79.39
20,151,CYBERTECH,EQ,20543,16047,78.11
20,152,DABUR,EQ,307658,271585,88.27
20,153,DALMIACEM,EQ,282,282,100.00
20,154,DCLPOLY,EQ,8486,6704,79.00
20,155,DCM,EQ,1750,800,45.71
20,156,DCMDAEWOO,EQ,33720,19350,57.38
20,157,DCMSRMCONS,EQ,1779,268,15.06
20,158,DCW,EQ,349918,240483,68.73
20,159,DECCANCEM,EQ,74440,73880,99.25
20,160,DEEPAKFERT,EQ,10728,10178,94.87
20,161,DENABANK,EQ,15633,11648,74.51
20,162,DGPWINDSOR,EQ,435,435,100.00
20,163,DHARSUGAR,EQ,300,300,100.00
20,164,DIGITALEQP,EQ,2451952,140588,5.73
20,165,DRREDDY,EQ,59788,21942,36.70
20,166,DYNACONS,EQ,200,200,100.00
20,167,EASTSILK,EQ,800,800,100.00
20,168,EASUNREYRL,EQ,100,100,100.00
20,169,EICHERLTD,EQ,10580,10513,99.37
20,170,EICHERMOT,EQ,16712,14525,86.91
20,171,EIDERTELE,EQ,1049,949,90.47
20,172,EIDPARRY,EQ,4574,3830,83.73
20,173,EIHOTEL,EQ,847,466,55.02
20,174,EIMCOELECO,EQ,302,301,99.67
20,175,ELDERPHARM,EQ,1916,1750,91.34
20,176,ELECTCAST,EQ,24024,14372,59.82
20,177,ELGIEQUIP,EQ,79359,45341,57.13
20,178,ELGITYRE,EQ,436,436,100.00
20,179,EMCOTRANS,EQ,3328,3078,92.49
20,180,EMERCK,EQ,8812,6706,76.10
20,181,ENGINERSIN,EQ,34057,14663,43.05
20,182,ESABINDIA,EQ,11868,9428,79.44
20,183,ESCORTS,EQ,17586,12806,72.82
20,184,ESSARGUJ,EQ,283732,194617,68.59
20,185,ESSAROIL,EQ,34156,30175,88.34
20,186,ESSELPACK,EQ,3835,2600,67.80
20,187,ETERNEVRST,EQ,650,600,92.31
20,188,EUROSOFTAL,EQ,3000,3000,100.00
20,189,EUROTEXIND,EQ,500,500,100.00
20,190,EXCELIND,EQ,1221,1220,99.92
20,191,FAGBEARING,EQ,6530,5830,89.28
20,192,FDC,EQ,400,310,77.50
20,193,FEDERALBNK,EQ,926415,210623,22.74
20,194,FINCABLES,EQ,7597,4173,54.93
20,195,FINPIPE,EQ,28210,27761,98.41
20,196,FIRSTLEASE,EQ,1436,1331,92.69
20,197,FLEX,EQ,15900,15397,96.84
20,198,FLEXCHEM,EQ,1501,1500,99.93
20,199,FLEXENGG,EQ,1500,1500,100.00
20,200,FLOATGLASS,EQ,3500,3500,100.00
20,201,FORBESGOK,EQ,213,123,57.75
20,202,FOSECOIND,EQ,430,430,100.00
20,203,FUJITSICIM,EQ,54290,23884,43.99
20,204,FULFORD,EQ,1703,1183,69.47
20,205,GAEL,EQ,40,40,100.00
20,206,GAIL,EQ,175513,101506,57.83
20,207,GAMMONIND,EQ,6510,4891,75.13
20,208,GANESHBENZ,EQ,3754,3154,84.02
20,209,GARDENSILK,EQ,5247,5246,99.98
20,210,GARWALLROP,EQ,2200,2200,100.00
20,211,GECALSTHOM,EQ,9514,8723,91.69
20,212,GEOMETRIC,EQ,351397,75673,21.53
20,213,GEORGWILIM,EQ,1150,1025,89.13
20,214,GERMANREM,EQ,1416,926,65.40
20,215,GESCOCORP,EQ,1044,982,94.06
20,216,GESHIPPING,EQ,1283259,966332,75.30
20,217,GHCL,EQ,25440,25060,98.51
20,218,GICHSGFIN,EQ,18105,17038,94.11
20,219,GINNIFILA,EQ,300,300,100.00
20,220,GIPCL,EQ,49494,47049,95.06
20,221,GKW,EQ,53,53,100.00
20,222,GLAXO,EQ,97919,56387,57.59
20,223,GLENMARK,EQ,7096,5155,72.65
20,224,GLFL,EQ,475,475,100.00
20,225,GLOBALTELE,EQ,2844388,421245,14.81
20,226,GLOBLTRUST,EQ,9135141,2782361,30.46
20,227,GMDCLTD,EQ,101863,85513,83.95
20,228,GMRVASAVI,EQ,1630,1530,93.87
20,229,GNFC,EQ,116668,111888,95.90
20,230,GODAVRFERT,EQ,1700,1600,94.12
20,231,GODFRYPHLP,EQ,227,68,29.96
20,232,GODREJCP,EQ,28266,24152,85.45
20,233,GODREJINDS,EQ,51517,51317,99.61
20,234,GOETZEIND,EQ,4261,2846,66.79
20,235,GOLDTECH,EQ,14382,9981,69.40
20,236,GOODLASNER,EQ,1397,1396,99.93
20,237,GOODRICKE,EQ,2059,1711,83.10
20,238,GOODYEAR,EQ,517,443,85.69
20,239,GRASIM,EQ,82517,46857,56.78
20,240,GREAVES,EQ,508,508,100.00
20,241,GRINWELNOR,EQ,159,159,100.00
20,242,GSFC,EQ,42687,39336,92.15
20,243,GTCIND,EQ,6300,6300,100.00
20,244,GTNTEXT,EQ,716,616,86.03
20,245,GUJALKALI,EQ,5018,3506,69.87
20,246,GUJAMBCEM,EQ,84011,42262,50.31
20,247,GUJFLUORO,EQ,150,150,100.00
20,248,GUJRATGAS,EQ,12220,1545,12.64
20,249,GUJSIDHCEM,EQ,66324,6324,9.54
20,250,GULFOIL,EQ,250,250,100.00
20,251,HARRMALAYA,EQ,9850,8800,89.34
20,252,HAVELLS,EQ,132,132,100.00
20,253,HBSTOCK,EQ,362,362,100.00
20,254,HCL-INSYS,EQ,206339,79886,38.72
